OBJECTID;Entidad;Objeto;FNA;GNA;NAM;SAG;FDC;IN1;SHAPE_STAr;SHAPE_STLe
427;0;Provincia;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma;Ciudad Autónoma de Buenos Aires;IGN;Geografía;02;0,02024178827;0,74380646847
428;0;Provincia;Provincia del Neuquén;Provincia;Neuquén;IGN;Geografía;58;9,77181087612;21,51598458290
429;0;Provincia;Provincia de La Pampa;Provincia;La Pampa;IGN;Geografía;42;14,55301930160;19,66561446100
430;0;Provincia;Provincia de Mendoza;Provincia;Mendoza;IGN;Geografía;50;14,65838794340;23,25998618380
431;0;Provincia;Provincia de San Luis;Provincia;San Luis;IGN;Geografía;74;7,33377055086;14,49019578600
432;0;Provincia;Provincia de Córdoba;Provincia;Córdoba;IGN;Geografía;14;15,74832848930;18,45311489190
433;0;Provincia;Provincia de Santa Fe;Provincia;Santa Fe;IGN;Geografía;82;12,55283841030;20,85227966440
434;0;Provincia;Provincia de Entre Ríos;Provincia;Entre Ríos;IGN;Geografía;30;7,48648662083;14,35909118190
435;0;Provincia;Provincia de San Juan;Provincia;San Juan;IGN;Geografía;70;8,32844121046;19,44560572120
436;0;Provincia;Provincia de La Rioja;Provincia;La Rioja;IGN;Geografía;46;8,52921551759;16,42613230250
437;0;Provincia;Provincia de Catamarca;Provincia;Catamarca;IGN;Geografía;10;9,25694486638;21,70608221440
438;0;Provincia;Provincia de Tucumán;Provincia;Tucumán;IGN;Geografía;90;2,05338789856;8,40337286742
439;0;Provincia;Provincia de Jujuy;Provincia;Jujuy;IGN;Geografía;38;4,70083616412;13,89475478950
440;0;Provincia;Provincia del Chaco;Provincia;Chaco;IGN;Geografía;22;9,02488881377;19,23941919530
441;0;Provincia;Provincia de Formosa;Provincia;Formosa;IGN;Geografía;34;6,74572052174;21,84971085890
442;0;Provincia;Provincia de Santiago del Estero;Provincia;Santiago del Estero;IGN;Geografía;86;12,54022432480;16,35309148880
443;0;Provincia;Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur;Provincia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;IGN;Geografía;94;566,26761179800;749,98315908400
444;0;Provincia;Provincia de Santa Cruz;Provincia;Santa Cruz;IGN;Geografía;78;29,94387586890;40,83555258330
445;0;Provincia;Provincia del Chubut;Provincia;Chubut;IGN;Geografía;26;25,08583429890;38,83794538930
446;0;Provincia;Provincia de Río Negro;Provincia;Río Negro;IGN;Geografía;62;21,45113685550;30,99727430960
447;0;Provincia;Provincia de Buenos Aires;Provincia;Buenos Aires;IGN;Geografía;06;30,80599751150;34,03557612580
448;0;Provincia;Provincia de Corrientes;Provincia;Corrientes;IGN;Geografía;18;8,23567880627;20,59467197420
449;0;Provincia;Provincia de Misiones;Provincia;Misiones;IGN;Geografía;54;2,71700189868;13,31555942030
450;0;Provincia;Provincia de Salta;Provincia;Salta;IGN;Geografía;66;13,81780536980;30,27595033260
